Title,Company,Location,Experience,Summary,Skills,Posting_Date,Job_URL,Job_Type,Scraped_Timestamp,Processed_Skill_Tokens,Skills_For_TFIDF,Cluster_Label
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India",4-6 year,"Minimum qualifications: Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience. 4 years of experience with physical design flow such...","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",20 May 2025,https://www.karkidi.com/job-details/89536-machine-learning-physical-design-engineer-job,Full Time,2025-05-20T17:56:56.028158,"['aartificial intelligence', 'algorithms', 'data structuring', 'design', 'machine learning techniques']",aartificial intelligence algorithms data structuring design machine learning techniques,0
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora: Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products: Quora: a global knowledge sharing platform with over...","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",17 May 2025,https://www.karkidi.com/job-details/89511-staff-software-engineer-monetization-poe-remote-job,Full Time,2025-05-20T17:56:56.029094,"['aartificial intelligence', 'analytical and problem solving', 'api', 'data analysis', 'database', 'design', 'effective communication skills', 'graphql', 'large language models - llms', 'next.js', 'python programming', 'react.js', 'teamwork', 'typescript']",aartificial intelligence analytical and problem solving api data analysis database design effective communication skills graphql large language models - llms next.js python programming react.js teamwork typescript,2
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora: Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products: Quora: a global knowledge sharing platform with over...","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",14 May 2025,https://www.karkidi.com/job-details/89486-staff-backend-engineer-bot-creator-ecosystem-poe-remote-job,Full Time,2025-05-20T17:56:56.029800,"['aartificial intelligence', 'api', 'data science techniques', 'design', 'effective communication skills', 'large language models - llms', 'python programming', 'teamwork']",aartificial intelligence api data science techniques design effective communication skills large language models - llms python programming teamwork,0
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora: Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products: Quora: a global knowledge sharing platform with over...","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",14 May 2025,https://www.karkidi.com/job-details/89469-senior-backend-engineer-bot-creator-ecosystem-poe-remote-job,Full Time,2025-05-20T17:56:56.030515,"['aartificial intelligence', 'api', 'data science techniques', 'design', 'effective communication skills', 'large language models - llms', 'python programming', 'teamwork']",aartificial intelligence api data science techniques design effective communication skills large language models - llms python programming teamwork,0
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible. As a Lead AI/ML Engineer within our Asset and Wealth management, you...","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",13 May 2025,https://www.karkidi.com/job-details/89455-data-scientist-lead-aiml-job,Full Time,2025-05-20T17:56:56.031249,"['aartificial intelligence', 'data science techniques', 'large language models - llms', 'machine learning techniques', 'natural language processing', 'python programming']",aartificial intelligence data science techniques large language models - llms machine learning techniques natural language processing python programming,0
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions. As a Director of...","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",13 May 2025,https://www.karkidi.com/job-details/89454-applied-ai-ml-director-machine-learning-job,Full Time,2025-05-20T17:56:56.031921,"['aartificial intelligence', 'aws', 'azure', 'google cloud platform', 'kubernetes-k8s', 'large language models - llms', 'machine learning techniques']",aartificial intelligence aws azure google cloud platform kubernetes-k8s large language models - llms machine learning techniques,3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","Design,Leadership Skill,Machine learning techniques",13 May 2025,https://www.karkidi.com/job-details/89441-senior-product-designer-job,Full Time,2025-05-20T17:56:56.032556,"['design', 'leadership skill', 'machine learning techniques']",design leadership skill machine learning techniques,5
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",13 May 2025,https://www.karkidi.com/job-details/89440-manager-machine-learning-job,Full Time,2025-05-20T17:56:56.033207,"['aartificial intelligence', 'large language models - llms', 'machine learning techniques', 'natural language processing']",aartificial intelligence large language models - llms machine learning techniques natural language processing,0
Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,"Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",13 May 2025,https://www.karkidi.com/job-details/89436-data-scientist-job,Full Time,2025-05-20T17:56:56.033880,"['amazon redshift', 'apache hadoop', 'data science techniques', 'google bigquery', 'google cloud platform', 'python programming', 'r programming', 'sql']",amazon redshift apache hadoop data science techniques google bigquery google cloud platform python programming r programming sql,5
ML Engineer,"CBRE Group, Inc.","Hyderabad, Telangana, India; Gurgaon, Haryana, India; Noida, Uttar Pradesh, India",2-4 year,"As a CBRE Data Scientist, you will optimize effectiveness and predict outcomes through business, operations, customer, and economic data in order to develop business intelligence. This job...","Algorithms,Employee life cycle,Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques,MLOps tools,Optimization",10 May 2025,https://www.karkidi.com/job-details/89394-ml-engineer-job,Full Time,2025-05-20T17:56:56.034531,"['algorithms', 'employee life cycle', 'kubernetes-k8s', 'large language models - llms', 'machine learning techniques', 'mlops tools', 'optimization']",algorithms employee life cycle kubernetes-k8s large language models - llms machine learning techniques mlops tools optimization,0
