Title,Company,Location,Experience,Summary,Skills_Raw,Posting_Date,Job_URL,Job_Type,Predicted_Category,Predicted_Cluster_Label,Daily_Scraped_Timestamp,Keyword_Found_Under
Senior Management Consultant (CPG / Supply Chain),Sigmoid,"Bengaluru, Karnataka, India",6-8 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"Aartificial intelligence,Algorithms,Machine learning techniques,Project management,Supply Chain Management",27 May 2025,https://www.karkidi.com/job-details/89592-senior-management-consultant-cpg-supply-chain-job,Full Time,Natural Language Processing & ML,0,2025-05-28T02:22:01.584178,Data Scientist
Senior Lead Data Scientist,Sigmoid,"Bengaluru, Karnataka, India",10-12 year,"Work Experience Required: 8 - 12 Years Experience in programing (Python, R, SQL, NoSQL,Spark) with ML tools & Cloud Technology (AWS, Azure, GCP) Experience in Python libraries...","Aartificial intelligence,AWS,Azure,Data science techniques,Design,Effective communication skills,Google Cloud Platform (GCP),Leadership Skill,Logistic Regression,Machine learning techniques,Python Programming,R Programming,Random forests,Sales",27 May 2025,https://www.karkidi.com/job-details/89591-senior-lead-data-scientist-job,Full Time,Data Science & Analytics (SQL & Programming),4,2025-05-28T02:22:01.606085,Data Scientist
Senior Data Analyst,Sigmoid,"Bengaluru, Karnataka, India",10-12 year,"We are looking for a Senior Data Analyst who will work on a broad range of data analytics, data visualization and business intelligence problems across a variety of industries. More...","Aartificial intelligence,Analytical and Problem solving,Data Analytics,Data science techniques,Database,Machine learning techniques,PowerBI,QlikView,SQL,Tableau",27 May 2025,https://www.karkidi.com/job-details/89590-senior-data-analyst-job,Full Time,Data Science & Analytics (SQL & Programming),4,2025-05-28T02:22:01.607422,Data Scientist
Principal Data Scientist,Sigmoid,"Bengaluru, Karnataka, India",10-12 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"3D data processing,Aartificial intelligence,AWS,Azure,Data science techniques,Effective communication skills,Google Cloud Platform (GCP),Machine learning techniques,NoSQL,Supply Chain Management",27 May 2025,https://www.karkidi.com/job-details/89589-principal-data-scientist-job,Full Time,DevOps & Multi-Cloud Platforms (AWS/GCP),3,2025-05-28T02:22:01.608501,Data Scientist
Management Consulting Analyst,Sigmoid,"Bengaluru, Karnataka, India",2-4 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"Aartificial intelligence,Analytical and Problem solving,Data science techniques,Optimization,Project management",27 May 2025,https://www.karkidi.com/job-details/89588-management-consulting-analyst-job,Full Time,Cloud Data Services (AWS & Apache),2,2025-05-28T02:22:01.609601,Data Scientist
Engagement Manager – Life Sciences Consulting,Sigmoid,"Bengaluru, Karnataka, India",8-10 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"Aartificial intelligence,Algorithms,Analytical and Problem solving",27 May 2025,https://www.karkidi.com/job-details/89587-engagement-manager-life-sciences-consulting-job,Full Time,Cloud Data Services (AWS & Apache),2,2025-05-28T02:22:01.610606,Data Scientist
Engagement Manager Consulting (Revenue and Customer Analytics),Sigmoid,"Bengaluru, Karnataka, India",10-12 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"Aartificial intelligence,Algorithms,Analytical and Problem solving",27 May 2025,https://www.karkidi.com/job-details/89586-engagement-manager-consulting-revenue-and-customer-analytics-job,Full Time,Cloud Data Services (AWS & Apache),2,2025-05-28T02:22:01.611604,Data Scientist
Engagement Manager - Consulting (CPG Finance),Sigmoid,"Bengaluru, Karnataka, India",10-12 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"Aartificial intelligence,Algorithms,Analytical and Problem solving",27 May 2025,https://www.karkidi.com/job-details/89585-engagement-manager-consulting-cpg-finance-job,Full Time,Cloud Data Services (AWS & Apache),2,2025-05-28T02:22:01.612584,Data Scientist
Director Data Science,Sigmoid,"Bengaluru, Karnataka, India",12-14 year,Why Join Sigmoid? Sigmoid provides the opportunity to push the boundaries of what is possible by seamlessly combining technical expertise and creativity to tackle intrinsically complex...,"3D data processing,Aartificial intelligence,AWS,Azure,Data science techniques,Effective communication skills,Google Cloud Platform (GCP),Machine learning techniques,NoSQL,Python Programming,SPARK Programming",27 May 2025,https://www.karkidi.com/job-details/89584-director-data-science-job,Full Time,DevOps & Multi-Cloud Platforms (AWS/GCP),3,2025-05-28T02:22:01.613565,Data Scientist
Business Analytics Leader,Sigmoid,"Bengaluru, Karnataka, India",12-14 year,Sigmoid is looking to hire a visionary and dynamic Business Analytics to build and lead our portfolio in Business and Data Analytics. This is an exciting opportunity to build and manage a...,"Business Analytics,Data Analytics,IT,Machine learning techniques,Planning and organization",27 May 2025,https://www.karkidi.com/job-details/89583-business-analytics-leader-job,Full Time,Data Science & Analytics (SQL & Programming),4,2025-05-28T02:22:01.614602,Data Scientist
